"speed_main","flow_main","week","speed_ngh_432","year2011","year2012","year2013","year2014","year2015","year2016","year2017","year2018","year2019","hour7","hour8","hour9"
114.78,2040,15,110.41,0,0,0,0,0,0,1,0,0,0,0,0
108.88,2937.82,26,97.06,0,0,0,0,0,0,0,0,0,0,0,1
110.39,1623,45,105.2,0,1,0,0,0,0,0,0,0,0,0,0
112.38,3435,10,106.36,0,0,0,0,0,1,0,0,0,0,0,1
108.92,1693,37,108.68,0,0,0,0,0,0,0,0,1,0,0,0
107.95,3391.03,26,101.14,0,0,1,0,0,0,0,0,0,1,0,0
109.41,1348,6,102.26,0,1,0,0,0,0,0,0,0,0,0,0
110.03,2882,44,99.39,0,0,0,0,0,0,0,0,0,0,0,1
109.25,1451.38,7,105.18,0,0,1,0,0,0,0,0,0,0,0,0
106.84,1942.37,19,109.96,0,0,0,0,0,0,0,0,1,0,0,0
111.46,1674.83,27,106.11,0,0,0,0,0,0,0,0,0,0,0,0
103.51,1210,19,91.62,0,0,0,0,1,0,0,0,0,1,0,0
112.9,1678,22,105.28,1,0,0,0,0,0,0,0,0,0,0,0
110.03,1542.11,15,104.34,0,0,0,1,0,0,0,0,0,0,0,0
112.09,3191.19,26,105.84,0,0,0,0,0,0,0,0,1,0,0,1
114.56,3248,37,108.15,0,0,0,0,0,1,0,0,0,0,0,1
113.21,1901,51,108.82,0,0,0,0,0,1,0,0,0,0,0,0
108.42,3140,13,101.31,0,1,0,0,0,0,0,0,0,0,0,1
111.85,1601.38,12,105.27,0,0,0,1,0,0,0,0,0,0,0,0
110.58,1590.51,13,106.63,0,0,0,1,0,0,0,0,0,0,0,0
115.66,2183,42,107.04,0,0,0,0,0,0,0,0,1,0,0,0
109.7,1664.44,44,103.26,0,1,0,0,0,0,0,0,0,0,0,0
103.94,3385.26,9,97.47,0,0,0,1,0,0,0,0,0,0,1,0
111.62,1457.29,35,105.65,1,0,0,0,0,0,0,0,0,0,0,0
105.77,3096,24,97.72,1,0,0,0,0,0,0,0,0,0,0,1
105.54,2946.43,23,101.05,0,1,0,0,0,0,0,0,0,0,0,1
106.12,3313,8,96.39,1,0,0,0,0,0,0,0,0,0,1,0
84.1,3035,44,93.31,0,0,0,1,0,0,0,0,0,0,0,1
99.23,3376,23,88.56,0,1,0,0,0,0,0,0,0,0,1,0
104.75,3372,25,88.23,1,0,0,0,0,0,0,0,0,0,1,0
112.69,1994,51,109.38,0,0,0,0,1,0,0,0,0,0,0,0
108.12,3263.39,18,101.45,0,0,0,1,0,0,0,0,0,1,0,0
106.31,2940,19,96.95,1,0,0,0,0,0,0,0,0,0,0,1
111.76,1437.93,35,106.71,0,0,1,0,0,0,0,0,0,0,0,0
74.99,2710.53,3,74.35,0,0,1,0,0,0,0,0,0,1,0,0
110.97,1581.72,41,105.36,0,0,1,0,0,0,0,0,0,0,0,0
109.62,1574,3,104.01,0,1,0,0,0,0,0,0,0,0,0,0
101.37,3183,39,87.56,0,0,0,0,0,0,0,0,0,0,0,1
