"speed_main","flow_main","week","speed_ngh_432","year2011","year2012","year2013","year2014","year2015","year2016","year2017","year2018","year2019","hour7","hour8","hour9"
105.09,3231,18,100,1,0,0,0,0,0,0,0,0,0,1,0
106.18,3384,19,96.87,1,0,0,0,0,0,0,0,0,0,1,0
110.56,3122.11,30,100.75,1,0,0,0,0,0,0,0,0,0,1,0
104.93,3484,34,91.75,1,0,0,0,0,0,0,0,0,0,1,0
85.19,3343,40,84.04,1,0,0,0,0,0,0,0,0,0,1,0
92.72,3423,41,74.62,1,0,0,0,0,0,0,0,0,0,1,0
105.84,3354,43,97.31,1,0,0,0,0,0,0,0,0,0,1,0
104.18,3316,49,95.25,1,0,0,0,0,0,0,0,0,0,1,0
101.29,3208,50,93.84,1,0,0,0,0,0,0,0,0,0,1,0
102.61,3315,5,93.31,0,1,0,0,0,0,0,0,0,0,1,0
54.74,3427,7,87,0,1,0,0,0,0,0,0,0,0,1,0
109.48,3370,8,100.25,0,1,0,0,0,0,0,0,0,0,1,0
104.51,3498,21,99.52,0,1,0,0,0,0,0,0,0,0,1,0
108.9,3113,33,100.8,0,1,0,0,0,0,0,0,0,0,1,0
77.15,3202,38,85.98,0,1,0,0,0,0,0,0,0,0,1,0
102.68,3384,42,96.72,0,1,0,0,0,0,0,0,0,0,1,0
115.79,313.22,52,112.56,0,1,0,0,0,0,0,0,0,0,1,0
38.84,2429.47,3,68.41,0,0,1,0,0,0,0,0,0,0,1,0
53.61,3255.85,6,82.61,0,0,1,0,0,0,0,0,0,0,1,0
104.64,3446.44,13,97.5,0,0,1,0,0,0,0,0,0,0,1,0
106.28,3247.24,14,101.9,0,0,1,0,0,0,0,0,0,0,1,0
85.33,3205,20,71.42,0,0,1,0,0,0,0,0,0,0,1,0
107.78,3232.63,23,99.27,0,0,1,0,0,0,0,0,0,0,1,0
106.46,3429.82,24,98.87,0,0,1,0,0,0,0,0,0,0,1,0
106.38,3317.89,29,100.72,0,0,1,0,0,0,0,0,0,0,1,0
109.77,2962.76,31,103.1,0,0,1,0,0,0,0,0,0,0,1,0
