year,week,speed_main,flow_main,flow_ngh_400,flow_ngh_432,speed_ngh_400,speed_ngh_432,hour6,hour7,hour8,hour9
5,35,111.57,1799,1835,2012,111.78,87.26,1,0,0,0
5,36,111.06,1749,1801,220.71,107.97,66.82,1,0,0,0
5,37,108.08,1820,1851,NA,109.13,NA,1,0,0,0
5,38,110.17,1887,1927,NA,110.46,NA,1,0,0,0
5,39,110.51,1845.26,1865.26,2215.79,110.7,105.19,1,0,0,0
5,40,109.87,1908,1942,2244,110.34,106.81,1,0,0,0
5,41,108.88,2006,1999,2391,110.52,106.46,1,0,0,0
5,42,110.79,2050,2065,2405,111.97,106.76,1,0,0,0
5,43,112.05,1767.46,1813.22,2191.53,112.14,108.24,1,0,0,0
5,44,111.24,1982,1992,2364,110.87,107.13,1,0,0,0
5,45,111.85,1915,1935,2323,111.82,107.22,1,0,0,0
5,46,112.96,1954.58,1991.19,2396.95,112.8,108.72,1,0,0,0
5,47,111.66,1973,2002,2385,111.87,106.43,1,0,0,0
5,48,110.74,1999,2021,2450,110.32,105.78,1,0,0,0
5,49,111.82,2000,2031,2459,112.51,108.77,1,0,0,0
5,50,111.45,1998,1999,2392,111.71,107.73,1,0,0,0
5,51,112.69,1994,2047,2501,113.02,109.38,1,0,0,0
5,52,110.98,1315,1333,1555,110.8,107.45,1,0,0,0
5,53,110.76,876,870,1020,109.86,107.83,1,0,0,0
6,1,110.85,1861,1866,2245,111.32,107.85,1,0,0,0
6,2,112.3,1893,1920,2299,112.09,108.6,1,0,0,0
6,3,111.13,1866,1897,2246,110.94,107.65,1,0,0,0
6,4,112.58,1925,1940,2348,112.9,108.1,1,0,0,0
6,5,112.35,1937,1939,2386,112.77,107.91,1,0,0,0
6,6,112.74,1907,1945,2313,112.72,107.74,1,0,0,0
6,7,112.47,1841,1849,2250,112.51,108.72,1,0,0,0
6,8,112.25,1864,1908,2255,112.44,108.61,1,0,0,0
6,9,111.65,1829,1848,2262,111.47,107.5,1,0,0,0
6,10,112.1,1874,1895,2335,112.28,108.91,1,0,0,0
6,11,112.6,1910,1945,2368,113.24,109.53,1,0,0,0
6,12,113.25,1943.39,1992.2,2510.85,113.56,109.93,1,0,0,0
6,13,112.07,2070,2092,2584,112.07,107.35,1,0,0,0
6,14,112.8,2031,2045,2505,112.9,108.98,1,0,0,0
6,15,115.07,1908,1926,2427,114.84,110.88,1,0,0,0
6,16,116.34,1953,1974,2487,116.32,112,1,0,0,0
6,17,109.96,1796,1811,2234,111.07,103.2,1,0,0,0
6,19,114.59,2292.56,2298.14,2866.05,114.29,109.81,1,0,0,0
6,20,116.02,2226,2256,2749,115.43,111.45,1,0,0,0
6,21,116.13,2013,2029,2530,116.04,113.18,1,0,0,0
6,22,115.5,1986,2013,2548,115.6,111.63,1,0,0,0
6,23,115.19,2022,2062,2530,115.59,111.93,1,0,0,0
6,24,116.14,1902,1944,2451,116.42,111.95,1,0,0,0
6,25,115.81,1975,2029,2482,115.95,113.15,1,0,0,0
6,26,115.51,1967,2053,2571,115.9,112.08,1,0,0,0
6,27,116.65,2041,2026,2518,115.85,111.3,1,0,0,0
6,28,115.69,1966,1982,2366,115.56,111.17,1,0,0,0
6,29,114.6,1749,1810,2100,114.76,111.05,1,0,0,0
6,30,115.71,1467,1500,1718,115.08,112.01,1,0,0,0
6,31,115.45,1351,1353,1580,114.48,111.25,1,0,0,0
6,32,112.78,1375,1378,1608,112.83,108.74,1,0,0,0
6,33,115.4,1588,1595,1969,116.33,111.78,1,0,0,0
6,34,115.59,1703,1725,2168,115.52,110.89,1,0,0,0
6,35,115.89,1838,1885,2330,115.45,111.06,1,0,0,0
6,36,115.51,1883,1945,2400,116.14,110.97,1,0,0,0
6,37,115.44,1913,1912,2365,115.49,110.12,1,0,0,0
6,38,114.47,1943,1964,2367,114.97,109.85,1,0,0,0
6,39,114.51,1919,1966,2466,114.4,109.87,1,0,0,0
6,40,114.71,1961,1985,2462,115.43,109.55,1,0,0,0
6,41,115,1957,1984,2493,114.61,109.79,1,0,0,0
6,42,116.04,1934,1956,2318,115.45,110.05,1,0,0,0
6,43,114.14,2015,2048,2554,114.77,109.95,1,0,0,0
6,44,114.7,2001,2015,2547,114.93,110.22,1,0,0,0
6,45,113,1944,1951,2472,113.45,108.37,1,0,0,0
6,46,114.24,1999,2030,2547,114.69,109.77,1,0,0,0
6,47,113.3,2114,2159,2674,113.58,108.2,1,0,0,0
6,48,113.3,1942,1965,2439,113.65,108.63,1,0,0,0
6,49,113.17,2079,2076,2533,113.54,108.04,1,0,0,0
6,50,113.32,2057,2113,2545,113.96,109.1,1,0,0,0
6,51,113.21,1901,1904,2342,113.6,108.82,1,0,0,0
6,52,114.76,850,842,978,113.9,110.47,1,0,0,0
7,1,113.65,1353,1376,1645,113.73,109.09,1,0,0,0
7,2,113.54,1978,1974,2453,114.25,109.26,1,0,0,0
7,3,112.05,1899,1954,2452,112.72,107.48,1,0,0,0
7,4,111.14,1910,1929,2392,112.14,107,1,0,0,0
7,5,113.85,1952,1970,2427,114.4,109.73,1,0,0,0
7,6,112.21,1945,1975,2425,112.47,108.42,1,0,0,0
7,7,112.58,1954,1997,2453,114.12,108.33,1,0,0,0
7,8,113.17,1937,2001,2452,114.37,109.85,1,0,0,0
